"nombre","nombre_url"
"Total Estatal","total-estatal"
"Andalucía","andalucia"
"Almería","almeria"
"Abla","abla"
"Abrucena","abrucena"
"Adra","adra"
"Albánchez","albanchez"
"Alboloduy","alboloduy"
"Albox","albox"
"Alcolea","alcolea"
"Alcóntar","alcontar"
"Alcudia de Monteagud","alcudia-de-monteagud"
"Alhabia","alhabia"
"Alhama de Almería","alhama-de-almeria"
"Alicún","alicun"
"Almería","almeria"
"Almócita","almocita"
"Alsodux","alsodux"
"Antas","antas"
"Arboleas","arboleas"
"Armuña de Almanzora","armuna-de-almanzora"
"Bacares","bacares"
"Bayárcal","bayarcal"
"Bayarque","bayarque"
"Bédar","bedar"
"Beires","beires"
"Benahadux","benahadux"
"Benitagla","benitagla"
"Benizalón","benizalon"
"Bentarique","bentarique"
"Berja","berja"
"Canjáyar","canjayar"
"Cantoria","cantoria"
"Carboneras","carboneras"
"Castro de Filabres","castro-de-filabres"
"Cóbdar","cobdar"
"Cuevas del Almanzora","cuevas-del-almanzora"
"Chercos","chercos"
"Chirivel","chirivel"
"Dalías","dalias"
"Enix","enix"
"Felix","felix"
"Fines","fines"
"Fiñana","finana"
"Fondón","fondon"
"Gádor","gador"
"Gallardos (Los)","gallardos-los"
"Garrucha","garrucha"
"Gérgal","gergal"
"Huécija","huecija"
"Huércal de Almería","huercal-de-almeria"
"Huércal-Overa","huercal-overa"
"Illar","illar"
"Instinción","instincion"
"Laroya","laroya"
"Láujar de Andarax","laujar-de-andarax"
"Líjar","lijar"
"Lubrín","lubrin"
"Lucainena de las Torres","lucainena-de-las-torres"
"Lúcar","lucar"
"Macael","macael"
"María","maria"
"Mojácar","mojacar"
"Nacimiento","nacimiento"
"Níjar","nijar"
"Ohanes","ohanes"
"Olula de Castro","olula-de-castro"
"Olula del Río","olula-del-rio"
"Oria","oria"
"Padules","padules"
"Partaloa","partaloa"
"Paterna del Río","paterna-del-rio"
"Pechina","pechina"
"Pulpí","pulpi"
"Purchena","purchena"
"Rágol","ragol"
"Rioja","rioja"
"Roquetas de Mar","roquetas-de-mar"
"Santa Cruz de Marchena","santa-cruz-de-marchena"
"Santa Fe de Mondújar","santa-fe-de-mondujar"
"Senés","senes"
"Serón","seron"
"Sierro","sierro"
"Somontín","somontin"
"Sorbas","sorbas"
"Suflí","sufli"
"Tabernas","tabernas"
"Taberno","taberno"
"Tahal","tahal"
"Terque","terque"
"Tíjola","tijola"
"Turre","turre"
"Turrillas","turrillas"
"Uleila del Campo","uleila-del-campo"
"Urrácal","urracal"
"Velefique","velefique"
"Vélez-Blanco","velez-blanco"
"Vélez-Rubio","velez-rubio"
"Vera","vera"
"Viator","viator"
"Vícar","vicar"
"Zurgena","zurgena"
"Tres Villas (Las)","tres-villas-las"
"Ejido (El)","ejido-el"
"Mojonera (La)","mojonera-la"
"Cádiz","cadiz"
"Alcalá de los Gazules","alcala-de-los-gazules"
"Alcalá del Valle","alcala-del-valle"
"Algar","algar"
"Algeciras","algeciras"
"Algodonales","algodonales"
"Arcos de la Frontera","arcos-de-la-frontera"
"Barbate","barbate"
"Barrios (Los)","barrios-los"
"Benaocaz","benaocaz"
"Bornos","bornos"
"Bosque (El)","bosque-el"
"Cádiz","cadiz"
"Castellar de la Frontera","castellar-de-la-frontera"
"Conil de la Frontera","conil-de-la-frontera"
"Chiclana de la Frontera","chiclana-de-la-frontera"
"Chipiona","chipiona"
"Espera","espera"
"Gastor (El)","gastor-el"
"Grazalema","grazalema"
"Jerez de la Frontera","jerez-de-la-frontera"
"Jimena de la Frontera","jimena-de-la-frontera"
"Línea de la Concepción (La)","linea-de-la-concepcion-la"
"Medina-Sidonia","medina-sidonia"
"Olvera","olvera"
"Paterna de Rivera","paterna-de-rivera"
"Prado del Rey","prado-del-rey"
"Puerto de Santa María (El)","puerto-de-santa-maria-el"
"Puerto Real","puerto-real"
"Puerto Serrano","puerto-serrano"
"Rota","rota"
"San Fernando","san-fernando"
"Sanlúcar de Barrameda","sanlucar-de-barrameda"
"San Roque","san-roque"
"Setenil de las Bodegas","setenil-de-las-bodegas"
"Tarifa","tarifa"
"Torre Alháquime","torre-alhaquime"
"Trebujena","trebujena"
"Ubrique","ubrique"
"Vejer de la Frontera","vejer-de-la-frontera"
"Villaluenga del Rosario","villaluenga-del-rosario"
"Villamartín","villamartin"
"Zahara","zahara"
"Benalup-Casas Viejas","benalup-casas-viejas"
"San José del Valle","san-jose-del-valle"
"Córdoba","cordoba"
"Adamuz","adamuz"
"Aguilar de la Frontera","aguilar-de-la-frontera"
"Alcaracejos","alcaracejos"
"Almedinilla","almedinilla"
"Almodóvar del Río","almodovar-del-rio"
"Añora","anora"
"Baena","baena"
"Belalcázar","belalcazar"
"Belmez","belmez"
"Benamejí","benameji"
"Blázquez (Los)","blazquez-los"
"Bujalance","bujalance"
"Cabra","cabra"
"Cañete de las Torres","canete-de-las-torres"
"Carcabuey","carcabuey"
"Cardeña","cardena"
"Carlota (La)","carlota-la"
"Carpio (El)","carpio-el"
"Castro del Río","castro-del-rio"
"Conquista","conquista"
"Córdoba","cordoba"
"Doña Mencía","dona-mencia"
"Dos Torres","dos-torres"
"Encinas Reales","encinas-reales"
"Espejo","espejo"
"Espiel","espiel"
"Fernán-Núñez","fernan-nunez"
"Fuente la Lancha","fuente-la-lancha"
"Fuente Obejuna","fuente-obejuna"
"Fuente Palmera","fuente-palmera"
"Fuente-Tójar","fuente-tojar"
"Granjuela (La)","granjuela-la"
"Guadalcázar","guadalcazar"
"Guijo (El)","guijo-el"
"Hinojosa del Duque","hinojosa-del-duque"
"Hornachuelos","hornachuelos"
"Iznájar","iznajar"
"Lucena","lucena"
"Luque","luque"
"Montalbán de Córdoba","montalban-de-cordoba"
"Montemayor","montemayor"
"Montilla","montilla"
"Montoro","montoro"
"Monturque","monturque"
"Moriles","moriles"
"Nueva Carteya","nueva-carteya"
"Obejo","obejo"
"Palenciana","palenciana"
"Palma del Río","palma-del-rio"
"Pedro Abad","pedro-abad"
"Pedroche","pedroche"
"Peñarroya-Pueblonuevo","penarroya-pueblonuevo"
"Posadas","posadas"
"Pozoblanco","pozoblanco"
"Priego de Córdoba","priego-de-cordoba"
"Puente Genil","puente-genil"
"Rambla (La)","rambla-la"
"Rute","rute"
"San Sebastián de los Ballesteros","san-sebastian-de-los-ballesteros"
"Santaella","santaella"
"Santa Eufemia","santa-eufemia"
"Torrecampo","torrecampo"
"Valenzuela","valenzuela"
"Valsequillo","valsequillo"
"Victoria (La)","victoria-la"
"Villa del Río","villa-del-rio"
"Villafranca de Córdoba","villafranca-de-cordoba"
"Villaharta","villaharta"
"Villanueva de Córdoba","villanueva-de-cordoba"
"Villanueva del Duque","villanueva-del-duque"
"Villanueva del Rey","villanueva-del-rey"
"Villaralto","villaralto"
"Villaviciosa de Córdoba","villaviciosa-de-cordoba"
"Viso (El)","viso-el"
"Zuheros","zuheros"
"Granada","granada"
"Agrón","agron"
"Alamedilla","alamedilla"
"Albolote","albolote"
"Albondón","albondon"
"Albuñán","albunan"
"Albuñol","albunol"
"Albuñuelas","albunuelas"
"Aldeire","aldeire"
"Alfacar","alfacar"
"Algarinejo","algarinejo"
"Alhama de Granada","alhama-de-granada"
"Alhendín","alhendin"
"Alicún de Ortega","alicun-de-ortega"
"Almegíjar","almegijar"
"Almuñécar","almunecar"
"Alquife","alquife"
"Arenas del Rey","arenas-del-rey"
"Armilla","armilla"
"Atarfe","atarfe"
"Baza","baza"
"Beas de Granada","beas-de-granada"
"Beas de Guadix","beas-de-guadix"
