name,page,primer_partido_nombre,primer_alcaldes_absoluta,primer_alcaldes_relativa,primer_alcaldes_empate,primer_alcaldes_total,segundo_partido_nombre,segundo_alcaldes_absoluta,segundo_alcaldes_relativa,segundo_alcaldes_empate,segundo_alcaldes_total,tercer_partido_nombre,tercer_alcaldes_absoluta,tercer_alcaldes_relativa,tercer_alcaldes_empate,tercer_alcaldes_total
A Coruña,DMU11159PR_L1.htm,P.P.,47,15, ,62,PSdeG-PSOE,9,8, ,17,B.N.G.,3,7, ,10
Albacete,DMU07029PR_L1.htm,P.P.,32,10, ,42,P.S.O.E.,33,10, ,43,I.U., , , ,0
Alicante / Alacant,DMU17039PR_L1.htm,P.P.,75,28, ,103,P.S.O.E.,19,11, ,30,BLOC-C.M. COMPROMÍS,1,4, ,5
Almería,DMU01049PR_L1.htm,P.P.,45,5,1,51,P.S.O.E. de Andalucia,35,7, ,42,PA,1,2, ,3
Araba - Álava,DMU14019PR_L1.htm,E.A.J.-P.N.V.,16,9, ,25,BILDU-EA-ALTERNATIBA,7,5, ,12,P.P.,5,2, ,7
Asturias,DMU03339PR_L1.htm,P.S.O.E.,27,25, ,52,P.P.,5,7, ,12,FAC,2,2, ,4
Ávila,DMU08059PR_L1.htm,P.P.,190,2, ,192,P.S.O.E.,42,4, ,46,I.U.CyL,1, , ,1
Badajoz,DMU10069PR_L1.htm,P.S.O.E.,69,29, ,98,P.P.,41,8, ,49,IU-V-SIEX,4,3, ,7
Barcelona,DMU09089PR_L1.htm,CiU,84,60, ,144,PSC-PM,41,47, ,88,ESQUERRA-AM,24,12, ,36
Bizkaia,DMU14489PR_L1.htm,E.A.J.-P.N.V.,42,25, ,67,BILDU-EA-ALTERNATIBA,24,4, ,28,PSE-EE (PSOE), ,4, ,4
Burgos,DMU08099PR_L1.htm,P.P.,256,7,1,264,P.S.O.E.,69,2,1,72,PCAL,9, , ,9
Cáceres,DMU10109PR_L1.htm,P.S.O.E.,94,18, ,112,P.P.,90,9, ,99,IU-V-SIEX,1,1, ,2
Cádiz,DMU01119PR_L1.htm,P.S.O.E. de Andalucia,10,7, ,17,P.P.,7,10, ,17,IULV-CA,4,3, ,7
Cantabria,DMU06399PR_L1.htm,P.P.,38,25, ,63,P.R.C.,22,7, ,29,P.S.O.E.,4,4, ,8
Castellón / Castelló,DMU17129PR_L1.htm,P.P.,93,6, ,99,P.S.O.E.,29,2, ,31,BLOC, ,1, ,1
Ceuta,DMU18519PR_L1.htm,P.P.,1, , ,1,Caballas, , , ,0,P.S.O.E., , , ,0
Ciudad Real,DMU07139PR_L1.htm,P.S.O.E.,38,9, ,47,P.P.,39,11, ,50,I.U.,2, , ,2
Córdoba,DMU01149PR_L1.htm,P.S.O.E. de Andalucia,24,15, ,39,P.P.,10,9, ,19,IULV-CA,1,12, ,13
Cuenca,DMU07169PR_L1.htm,P.P.,107,4, ,111,P.S.O.E.,119,2, ,121,I.U.,2, , ,2
